area,zone,duration,depth
4.0,INLAND_S,48.0,1322.897
4.0,INLAND_S,72.0,1601.652
4.0,INLAND_S,96.0,1805.815
4.0,COAST_W,24.0,840.184
4.0,COAST_W,36.0,1007.786
4.0,COAST_W,48.0,1108.775
4.0,COAST_W,72.0,1239.184
4.0,COAST_W,96.0,1280.979
4.0,COAST_W,120.0,1322.377
4.5,COAST_S,24.0,1370.202
4.5,COAST_S,36.0,1681.323
4.5,COAST_S,48.0,1970.097
4.5,COAST_S,72.0,2481.299
4.5,COAST_S,96.0,2777.339
4.5,COAST_S,120.0,2920.807
4.5,SWWA_W,24.0,598.161
4.5,SWWA_W,36.0,758.161
4.5,SWWA_W,48.0,800.589
4.5,SWWA_W,72.0,833.549
4.5,SWWA_W,96.0,864.202
4.5,INLAND_S,24.0,994.976
4.5,INLAND_S,36.0,1163.831
4.5,INLAND_S,48.0,1320.339
4.5,INLAND_S,72.0,1597.969
4.5,INLAND_S,96.0,1801.211
4.5,COAST_W,24.0,839.774
4.5,COAST_W,36.0,1007.428
4.5,COAST_W,48.0,1108.161
4.5,COAST_W,72.0,1238.774
4.5,COAST_W,96.0,1280.468
4.5,COAST_W,120.0,1321.815
5.0,COAST_S,24.0,1369.515
5.0,COAST_S,36.0,1680.225
5.0,COAST_S,48.0,1968.633
5.0,COAST_S,72.0,2479.148
5.0,COAST_S,96.0,2775.052
5.0,COAST_S,120.0,2918.062
5.0,SWWA_W,24.0,597.612
5.0,SWWA_W,36.0,757.612
5.0,SWWA_W,48.0,799.72
5.0,SWWA_W,72.0,832.816
5.0,SWWA_W,96.0,863.515
5.0,INLAND_S,24.0,993.924
5.0,INLAND_S,36.0,1162.138
5.0,INLAND_S,48.0,1318.051
5.0,INLAND_S,72.0,1594.674
5.0,INLAND_S,96.0,1797.093
5.0,COAST_W,24.0,839.408
5.0,COAST_W,36.0,1007.107
5.0,COAST_W,48.0,1107.612
5.0,COAST_W,72.0,1238.408
5.0,COAST_W,96.0,1280.01
5.0,COAST_W,120.0,1321.311
5.5,COAST_S,24.0,1368.895
5.5,COAST_S,36.0,1679.231
5.5,COAST_S,48.0,1967.308
5.5,COAST_S,72.0,2477.203
5.5,COAST_S,96.0,2772.982
5.5,COAST_S,120.0,2915.578
5.5,SWWA_W,24.0,597.116
5.5,SWWA_W,36.0,757.116
5.5,SWWA_W,48.0,798.933
5.5,SWWA_W,72.0,832.154
5.5,SWWA_W,96.0,862.895
5.5,INLAND_S,24.0,992.972
5.5,INLAND_S,36.0,1160.607
5.5,INLAND_S,48.0,1315.982
5.5,INLAND_S,72.0,1591.694
5.5,INLAND_S,96.0,1793.367
5.5,COAST_W,24.0,839.077
5.5,COAST_W,36.0,1006.817
5.5,COAST_W,48.0,1107.116
5.5,COAST_W,72.0,1238.077
5.5,COAST_W,96.0,1279.596
5.5,COAST_W,120.0,1320.856
6.0,COAST_S,24.0,1368.328
6.0,COAST_S,36.0,1678.324
6.0,COAST_S,48.0,1966.099
6.0,COAST_S,72.0,2475.427
6.0,COAST_S,96.0,2771.092
6.0,COAST_S,120.0,2913.311
6.0,SWWA_W,24.0,596.662
6.0,SWWA_W,36.0,756.662
6.0,SWWA_W,48.0,798.215
6.0,SWWA_W,72.0,831.55
6.0,SWWA_W,96.0,862.328
6.0,INLAND_S,24.0,992.103
6.0,INLAND_S,36.0,1159.208
6.0,INLAND_S,48.0,1314.092
6.0,INLAND_S,72.0,1588.973
6.0,INLAND_S,96.0,1789.966
6.0,COAST_W,24.0,838.775
6.0,COAST_W,36.0,1006.553
6.0,COAST_W,48.0,1106.662
6.0,COAST_W,72.0,1237.775
6.0,COAST_W,96.0,1279.218
6.0,COAST_W,120.0,1320.44
6.5,COAST_S,24.0,1367.806
6.5,COAST_S,36.0,1677.49
6.5,COAST_S,48.0,1964.987
6.5,COAST_S,72.0,2473.793
6.5,COAST_S,96.0,2769.354
6.5,COAST_S,120.0,2911.225
6.5,SWWA_W,24.0,596.245
6.5,SWWA_W,36.0,756.245
6.5,SWWA_W,48.0,797.555
6.5,SWWA_W,72.0,830.993
6.5,SWWA_W,96.0,861.806
6.5,INLAND_S,24.0,991.303
6.5,INLAND_S,36.0,1157.922
6.5,INLAND_S,48.0,1312.354
6.5,INLAND_S,72.0,1586.47
6.5,INLAND_S,96.0,1786.838
6.5,COAST_W,24.0,838.497
6.5,COAST_W,36.0,1006.31
6.5,COAST_W,48.0,1106.245
6.5,COAST_W,72.0,1237.497
6.5,COAST_W,96.0,1278.871
6.5,COAST_W,120.0,1320.058
7.0,COAST_S,24.0,1367.324
7.0,COAST_S,36.0,1676.718
7.0,COAST_S,48.0,1963.957
7.0,COAST_S,72.0,2472.28
7.0,COAST_S,96.0,2767.745
7.0,COAST_S,120.0,2909.294
7.0,SWWA_W,24.0,595.859
7.0,SWWA_W,36.0,755.859
7.0,SWWA_W,48.0,796.943
7.0,SWWA_W,72.0,830.478
7.0,SWWA_W,96.0,861.324
7.0,INLAND_S,24.0,990.563
7.0,INLAND_S,36.0,1156.731
7.0,INLAND_S,48.0,1310.745
7.0,INLAND_S,72.0,1584.153
7.0,INLAND_S,96.0,1783.941
7.0,COAST_W,24.0,838.239
7.0,COAST_W,36.0,1006.084
7.0,COAST_W,48.0,1105.859
7.0,COAST_W,72.0,1237.239
7.0,COAST_W,96.0,1278.549
7.0,COAST_W,120.0,1319.704
7.5,COAST_S,24.0,1366.874
7.5,COAST_S,36.0,1675.999
7.5,COAST_S,48.0,1962.998
7.5,COAST_S,72.0,2470.872
7.5,COAST_S,96.0,2766.247
7.5,COAST_S,120.0,2907.496
7.5,SWWA_W,24.0,595.499
7.5,SWWA_W,36.0,755.499
7.5,SWWA_W,48.0,796.374
7.5,SWWA_W,72.0,829.999
7.5,SWWA_W,96.0,860.874
7.5,INLAND_S,24.0,989.874
7.5,INLAND_S,36.0,1155.623
7.5,INLAND_S,48.0,1309.247
7.5,INLAND_S,72.0,1581.996
7.5,INLAND_S,96.0,1781.244
7.5,COAST_W,24.0,838.0
7.5,COAST_W,36.0,1005.875
7.5,COAST_W,48.0,1105.499
7.5,COAST_W,72.0,1237.0
7.5,COAST_W,96.0,1278.249
7.5,COAST_W,120.0,1319.374
8.0,COAST_S,24.0,1366.454
8.0,COAST_S,36.0,1675.326
8.0,COAST_S,48.0,1962.101
8.0,COAST_S,72.0,2469.555
8.0,COAST_S,96.0,2764.846
8.0,COAST_S,120.0,2905.815
8.0,SWWA_W,24.0,595.163
8.0,SWWA_W,36.0,755.163
8.0,SWWA_W,48.0,795.841
8.0,SWWA_W,72.0,829.551
8.0,SWWA_W,96.0,860.454
8.0,INLAND_S,24.0,989.229
8.0,INLAND_S,36.0,1154.586
8.0,INLAND_S,48.0,1307.846
8.0,INLAND_S,72.0,1579.978
8.0,INLAND_S,96.0,1778.722
8.0,COAST_W,24.0,837.775
8.0,COAST_W,36.0,1005.678
8.0,COAST_W,48.0,1105.163
8.0,COAST_W,72.0,1236.775
8.0,COAST_W,96.0,1277.969
8.0,COAST_W,120.0,1319.066
8.5,COAST_S,24.0,1366.059
8.5,COAST_S,36.0,1674.694
8.5,COAST_S,48.0,1961.259
8.5,COAST_S,72.0,2468.317
8.5,COAST_S,96.0,2763.529
8.5,COAST_S,120.0,2904.235
8.5,SWWA_W,24.0,594.847
8.5,SWWA_W,36.0,754.847
8.5,SWWA_W,48.0,795.341
8.5,SWWA_W,72.0,829.129
8.5,SWWA_W,96.0,860.059
8.5,INLAND_S,24.0,988.623
8.5,INLAND_S,36.0,1153.611
8.5,INLAND_S,48.0,1306.529
8.5,INLAND_S,72.0,1578.082
8.5,INLAND_S,96.0,1776.352
8.5,COAST_W,24.0,837.565
8.5,COAST_W,36.0,1005.494
8.5,COAST_W,48.0,1104.847
8.5,COAST_W,72.0,1236.565
8.5,COAST_W,96.0,1277.706
8.5,COAST_W,120.0,1318.776
9.0,COAST_S,24.0,1365.686
9.0,COAST_S,36.0,1674.098
9.0,COAST_S,48.0,1960.464
9.0,COAST_S,72.0,2467.151
9.0,COAST_S,96.0,2762.288
9.0,COAST_S,120.0,2902.745
9.0,SWWA_W,24.0,594.549
9.0,SWWA_W,36.0,754.549
9.0,SWWA_W,48.0,794.869
9.0,SWWA_W,72.0,828.732
9.0,SWWA_W,96.0,859.686
9.0,INLAND_S,24.0,988.052
9.0,INLAND_S,36.0,1152.693
9.0,INLAND_S,48.0,1305.288
9.0,INLAND_S,72.0,1576.295
9.0,INLAND_S,96.0,1774.118
9.0,COAST_W,24.0,837.366
9.0,COAST_W,36.0,1005.32
9.0,COAST_W,48.0,1104.549
9.0,COAST_W,72.0,1236.366
9.0,COAST_W,96.0,1277.458
9.0,COAST_W,120.0,1318.503
9.5,COAST_S,24.0,1365.334
9.5,COAST_S,36.0,1673.535
9.5,COAST_S,48.0,1959.713
9.5,COAST_S,72.0,2466.047
9.5,COAST_S,96.0,2761.114
9.5,COAST_S,120.0,2901.337
9.5,SWWA_W,24.0,594.267
9.5,SWWA_W,36.0,754.267
9.5,SWWA_W,48.0,794.423
9.5,SWWA_W,72.0,828.356
9.5,SWWA_W,96.0,859.334
9.5,INLAND_S,24.0,987.512
9.5,INLAND_S,36.0,1151.824
9.5,INLAND_S,48.0,1304.114
9.5,INLAND_S,72.0,1574.604
9.5,INLAND_S,96.0,1772.005
9.5,COAST_W,24.0,837.178
9.5,COAST_W,36.0,1005.156
9.5,COAST_W,48.0,1104.267
9.5,COAST_W,72.0,1236.178
9.5,COAST_W,96.0,1277.223
9.5,COAST_W,120.0,1318.245
10.0,COAST_S,24.0,1365.0
10.0,COAST_S,36.0,1673.0
10.0,COAST_S,48.0,1959.0
10.0,COAST_S,72.0,2465.0
10.0,COAST_S,96.0,2760.0
10.0,COAST_S,120.0,2900.0
10.0,SWWA_W,24.0,594.0
10.0,SWWA_W,36.0,754.0
10.0,SWWA_W,48.0,794.0
10.0,SWWA_W,72.0,828.0
10.0,SWWA_W,96.0,859.0
10.0,INLAND_S,24.0,987.0
10.0,INLAND_S,36.0,1151.0
10.0,INLAND_S,48.0,1303.0
10.0,INLAND_S,72.0,1573.0
10.0,INLAND_S,96.0,1770.0
10.0,COAST_W,24.0,837.0
10.0,COAST_W,36.0,1005.0
10.0,COAST_W,48.0,1104.0
10.0,COAST_W,72.0,1236.0
10.0,COAST_W,96.0,1277.0
10.0,COAST_W,120.0,1318.0
15.0,COAST_S,24.0,1360.108
15.0,COAST_S,36.0,1668.161
15.0,COAST_S,48.0,1951.963
15.0,COAST_S,72.0,2453.873
15.0,COAST_S,96.0,2752.384
15.0,COAST_S,120.0,2888.82
15.0,SWWA_W,24.0,591.607
15.0,SWWA_W,36.0,751.598
15.0,SWWA_W,48.0,791.04
15.0,SWWA_W,72.0,824.221
15.0,SWWA_W,96.0,855.156
15.0,INLAND_S,24.0,982.391
15.0,INLAND_S,36.0,1144.693
15.0,INLAND_S,48.0,1293.28
15.0,INLAND_S,72.0,1560.237
15.0,INLAND_S,96.0,1754.96
15.0,COAST_W,24.0,835.185
15.0,COAST_W,36.0,1002.726
15.0,COAST_W,48.0,1102.679
15.0,COAST_W,72.0,1234.532
15.0,COAST_W,96.0,1275.547
15.0,COAST_W,120.0,1316.993
20.0,COAST_S,24.0,1355.323
20.0,COAST_S,36.0,1664.792
20.0,COAST_S,48.0,1946.984
20.0,COAST_S,72.0,2447.531
20.0,COAST_S,96.0,2748.118
20.0,COAST_S,120.0,2879.714
20.0,SWWA_W,24.0,589.551
20.0,SWWA_W,36.0,749.503
20.0,SWWA_W,48.0,788.093
20.0,SWWA_W,72.0,821.018
20.0,SWWA_W,96.0,852.285
20.0,INLAND_S,24.0,979.026
20.0,INLAND_S,36.0,1139.499
20.0,INLAND_S,48.0,1286.755
20.0,INLAND_S,72.0,1550.268
20.0,INLAND_S,96.0,1743.891
20.0,COAST_W,24.0,833.618
20.0,COAST_W,36.0,1002.622
20.0,COAST_W,48.0,1101.239
20.0,COAST_W,72.0,1233.903
20.0,COAST_W,96.0,1275.086
20.0,COAST_W,120.0,1316.053
25.0,COAST_S,24.0,1350.631
25.0,COAST_S,36.0,1661.556
25.0,COAST_S,48.0,1942.586
25.0,COAST_S,72.0,2442.309
25.0,COAST_S,96.0,2741.965
25.0,COAST_S,120.0,2871.526
25.0,SWWA_W,24.0,588.348
25.0,SWWA_W,36.0,747.332
25.0,SWWA_W,48.0,785.967
25.0,SWWA_W,72.0,818.734
25.0,SWWA_W,96.0,849.957
25.0,INLAND_S,24.0,976.328
25.0,INLAND_S,36.0,1135.429
25.0,INLAND_S,48.0,1281.593
25.0,INLAND_S,72.0,1541.894
25.0,INLAND_S,96.0,1735.943
25.0,COAST_W,24.0,832.009
25.0,COAST_W,36.0,1001.613
25.0,COAST_W,48.0,1099.937
25.0,COAST_W,72.0,1232.616
25.0,COAST_W,96.0,1273.475
25.0,COAST_W,120.0,1313.985
30.0,COAST_S,24.0,1352.025
30.0,COAST_S,36.0,1658.394
30.0,COAST_S,48.0,1938.53
30.0,COAST_S,72.0,2437.631
30.0,COAST_S,96.0,2736.649
30.0,COAST_S,120.0,2864.718
30.0,SWWA_W,24.0,587.632
30.0,SWWA_W,36.0,745.739
30.0,SWWA_W,48.0,784.395
30.0,SWWA_W,72.0,817.044
30.0,SWWA_W,96.0,848.187
30.0,INLAND_S,24.0,974.054
30.0,INLAND_S,36.0,1131.878
30.0,INLAND_S,48.0,1276.965
30.0,INLAND_S,72.0,1534.7
30.0,INLAND_S,96.0,1729.428
30.0,COAST_W,24.0,831.282
30.0,COAST_W,36.0,1000.637
30.0,COAST_W,48.0,1098.725
30.0,COAST_W,72.0,1232.112
30.0,COAST_W,96.0,1271.676
30.0,COAST_W,120.0,1312.78
35.0,COAST_S,24.0,1349.524
35.0,COAST_S,36.0,1655.308
35.0,COAST_S,48.0,1934.711
